,Class
539,0
540,0
541,1
542,1
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,1
577,1
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,1
593,0
595,1
596,0
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,0
610,0
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,1
635,1
636,0
637,1
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,1
659,0
660,0
661,1
662,0
663,1
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,0
690,1
691,0
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,0
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,0
710,1
711,1
712,0
713,0
714,0
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,1
731,1
732,0
733,0
734,1
735,0
736,0
737,0
738,0
739,0
740,1
741,1
742,1
743,0
744,0
745,1
746,1
747,0
748,0
749,1
750,0
751,1
752,0
753,1
754,1
755,1
756,1
757,0
758,1
759,1
760,1
761,0
762,1
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,1
783,0
784,0
785,1
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
810,0
811,0
812,0
813,1
814,1
815,1
816,0
817,0
818,0
819,1
820,1
821,1
822,0
823,1
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,1
832,1
833,0
834,0
835,0
837,1
838,1
839,0
840,0
841,0
842,0
843,0
844,1
845,1
846,0
847,0
848,0
849,1
850,0
851,1
852,0
853,0
854,0
855,0
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,1
865,1
866,0
867,0
868,1
869,1
870,1
871,1
872,1
873,0
874,0
875,1
876,0
877,0
878,1
879,1
880,1
881,0
882,0
883,1
884,0
885,0
886,0
887,1
888,0
889,0
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,0
902,1
903,0
904,1
905,0
906,1
907,0
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,1
916,0
917,0
918,0
919,0
920,1
921,1
922,1
923,1
924,1
925,0
926,0
927,0
928,1
929,1
930,1
931,0
933,1
934,0
935,0
936,1
937,0
938,1
939,0
940,0
941,1
942,0
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,0
951,0
952,1
953,0
954,1
955,1
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,1
964,1
965,1
966,1
967,0
968,0
969,1
970,0
971,1
972,0
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,1
981,1
982,1
983,0
984,0
985,0
986,1
987,0
988,1
989,1
990,1
991,0
992,1
993,1
994,0
995,1
996,0
997,0
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,1
1047,1
1048,0
1049,1
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
1061,0
1062,0
1063,0
1064,1
1065,0
1066,0
1067,0
1068,1
1069,0
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,1
1078,1
1079,1
1080,1
1081,0
1082,0
1083,1
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,1
1106,0
1107,0
1108,1
1110,0
1111,0
1112,1
1113,1
1114,0
1115,1
1116,1
1117,0
1118,0
1119,0
1120,0
1121,1
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,0
1129,1
1130,0
1131,0
1132,1
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1142,1
1143,0
1144,0
1145,0
1146,0
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,1
1162,0
1163,0
1164,1
1165,0
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,0
1173,1
1174,1
1175,1
1176,0
1177,1
1178,0
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,1
1187,1
1188,1
1189,1
1190,0
1191,0
1192,0
1193,0
1194,1
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,0
1203,1
1204,0
1205,1
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,1
1213,1
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,0
1221,1
1222,1
1223,1
1224,0
1225,1
1226,1
1227,0
1228,1
1229,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,1
1236,0
1237,1
1238,1
1239,0
1241,0
1243,1
1244,1
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,1
1253,0
1254,0
1255,1
1256,1
1257,1
1258,1
1259,1
1260,1
1261,0
1262,1
1263,0
1264,1
1265,0
1266,0
1267,1
1268,1
1269,0
1270,0
1271,1
1272,0
1273,1
1274,1
1275,1
1276,1
1277,1
1278,0
1279,1
1280,1
1281,1
1282,1
1283,0
1284,0
1285,0
1286,1
1287,1
1288,0
1289,1
1290,0
1291,0
1292,1
1293,1
1294,0
1295,1
1296,1
1297,0
1298,0
1299,1
1300,1
1301,1
1302,0
1303,1
1304,0
1305,0
1306,0
1307,0
1308,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,1
1317,0
1318,1
1319,0
1320,0
1321,0
1322,0
1323,0
1324,1
1325,1
1326,0
1327,1
1328,1
1329,0
1330,0
1331,0
1332,1
1333,0
1334,1
1335,0
1336,1
1337,0
1338,1
1339,1
1340,0
1341,0
1342,0
1343,1
1344,1
1345,0
1346,0
1347,1
1348,1
1349,1
1350,0
1351,0
1352,0
1353,1
1355,1
1356,0
1357,0
1358,1
1359,0
1360,0
1361,1
1362,0
1363,0
1364,1
1365,0
1366,1
1368,1
1369,0
1370,0
1371,1
1372,0
1373,1
1374,1
1375,0
1376,0
1377,0
1378,1
1379,0
1380,1
1381,0
1382,1
1383,1
1384,1
1385,1
1386,0
1387,1
1388,0
1389,1
1390,0
1391,0
1392,1
1393,0
1394,0
1395,1
1396,0
1397,1
1398,0
1399,0
1400,1
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,1
1408,0
1409,0
1410,1
1411,1
1412,0
1413,1
1414,1
1415,1
1416,0
1417,1
1418,0
1419,0
1420,0
1421,0
1422,0
1423,1
1424,1
1425,1
1426,1
1427,0
1428,0
1429,1
1430,1
1431,0
1432,1
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,0
1443,1
1444,0
1445,0
1446,1
1447,0
1448,0
1449,1
1450,0
1451,0
1452,1
1453,0
1454,1
1455,0
1456,0
1457,0
1458,1
1459,0
1460,0
1461,0
1462,0
1463,1
1464,0
1465,0
1466,0
1467,1
1468,1
1469,0
1470,0
1471,1
1472,0
1473,1
1474,1
1475,0
1476,0
1477,1
1478,1
1479,1
1480,1
1481,0
1482,0
1483,0
1484,1
1485,1
1486,1
1487,0
1488,0
1489,1
1490,1
1491,0
1492,1
1493,1
1494,0
1495,1
1496,1
1497,0
1498,1
1499,0
1500,0
1501,0
1502,1
1503,1
1504,0
1505,1
1506,1
1507,1
1508,0
1510,1
1511,1
1512,0
1513,0
1514,1
1515,0
1516,0
1517,1
1518,0
1520,0
1521,1
1522,0
1523,1
1524,1
1525,0
1526,1
1527,0
1528,0
1529,0
1530,1
1531,1
1532,0
1533,0
1534,1
1535,0
1536,1
1537,1
1538,0
1539,1
1540,0
1541,1
1542,1
1543,0
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,1
1551,0
1552,0
1553,1
1554,1
1555,0
1556,0
1557,1
1558,0
1559,1
1560,0
1561,1
1562,0
1563,0
1564,1
1565,1
1566,0
1567,1
1568,0
1569,1
1570,1
1571,0
1572,0
1573,1
1574,1
1575,0
1576,0
1577,1
1578,0
1579,1
1580,0
1581,1
1582,0
1583,1
1584,1
1585,0
1586,0
1587,0
1588,0
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,0
1596,0
1597,1
1598,0
1599,0
1600,0
1601,1
1602,1
1603,1
1604,0
1605,0
1606,0
1607,0
1608,1
1609,0
1610,0
1611,1
1612,1
1613,1
1614,0
1615,1
1616,0
1617,1
1618,0
1619,1
1620,0
1621,0
1622,1
1623,1
1624,0
1625,0
1626,1
1627,1
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,1
1636,0
1637,0
1638,0
1639,0
1640,1
1641,0
1642,1
1643,1
1644,0
1645,0
1646,0
1647,1
1648,0
1649,1
1650,1
1651,1
1652,0
1653,1
1654,1
1655,0
1656,0
1657,0
1658,0
1659,1
1660,0
1661,1
1662,1
1663,0
1664,1
1665,1
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,1
1673,1
1674,0
1675,0
1676,1
1677,1
1678,0
1679,0
1680,0
1681,1
1682,0
1683,1
1684,1
1685,0
1687,0
1688,0
1689,0
1690,0
1691,1
1692,0
1693,0
1694,0
1695,1
1696,1
1697,0
1698,0
1699,1
1700,1
1701,0
1702,1
1703,1
1704,0
1705,0
1706,0
1708,1
1709,0
1710,0
1711,1
1712,1
1713,1
1714,1
1715,1
1716,0
1717,0
1718,0
1719,1
1720,1
1721,1
1722,0
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,0
1731,0
1732,1
1733,1
1734,0
1735,1
1736,1
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,1
1744,1
1745,0
1746,1
1747,1
1748,1
1749,0
1750,0
1751,0
1752,0
1753,1
1754,0
1755,0
1756,1
1757,1
1758,0
1759,1
1760,1
1761,1
1762,1
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1769,1
1770,1
1771,0
1772,0
1773,0
1774,1
1775,0
1777,1
1778,1
1779,0
1780,1
1781,1
1782,1
1783,1
1784,0
1785,1
1786,0
1787,1
1788,0
1789,1
1790,0
1791,0
1792,1
1793,1
1794,1
1795,0
1796,0
1797,0
1798,0
1799,1
1800,0
1801,1
1802,0
1803,1
1804,1
1805,1
1806,0
1807,1
1808,1
1809,1
1810,1
1811,1
1812,0
1813,0
1814,1
1815,0
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,1
1825,0
1826,1
1827,1
1828,1
1829,0
1830,0
1831,0
1832,1
1834,0
1835,1
1836,0
1837,0
1838,0
1839,1
1840,0
1841,1
1842,0
1843,1
1844,1
1845,1
1846,1
1847,0
1848,1
1849,0
1850,0
1851,1
1852,0
1853,1
1854,0
1855,1
1856,0
1857,1
1858,0
1859,0
1860,1
1861,0
1862,0
1863,0
1864,1
1865,1
1866,1
1868,0
1869,0
1870,1
1871,1
1872,0
1873,0
1874,0
1875,0
1876,1
1877,1
1878,1
1879,0
1880,1
1881,1
1882,0
1883,1
1884,1
1885,1
1886,1
1887,1
1888,0
1889,0
1890,0
1891,1
1892,1
1893,0
1894,1
1895,1
1896,0
1897,0
1898,0
1899,0
1900,0
1901,1
1902,0
1903,1
1904,1
1905,1
1906,1
1907,0
1908,0
1909,0
1910,0
1911,1
1912,0
1913,1
1914,0
1915,1
1916,1
1917,1
1918,0
1919,1
1920,0
1921,0
1922,0
1923,1
1924,1
1925,1
1926,0
1927,1
1928,0
1929,0
1930,1
1931,0
1932,1
1933,1
1934,0
1935,0
1936,0
1937,0
1938,1
1939,1
1940,0
1941,1
1942,1
1943,1
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,1
1951,1
1952,0
1953,1
1954,0
1955,1
1956,1
1957,1
1958,0
1959,0
1960,1
1961,0
1962,0
1963,1
1964,0
1965,1
1966,0
1967,0
1968,1
1969,0
1970,0
1971,0
1972,1
1973,1
1974,0
1975,1
1976,1
1978,0
1979,0
1980,0
1981,0
1982,1
1983,1
1984,1
1985,1
1986,1
1987,0
1988,1
1989,1
1991,0
1992,1
1993,0
1994,1
1995,1
1996,1
1997,0
1998,1
1999,0
2000,1
2001,1
2002,0
2003,0
2004,0
2005,1
2006,0
2007,0
2008,0
2009,1
2010,0
2011,0
2012,0
2013,1
2014,1
2015,1
2016,0
2017,1
2018,0
2019,0
2020,0
2021,1
2022,1
2023,0
2024,1
2025,0
2026,0
2027,0
2028,0
2029,1
2030,1
2031,1
2032,0
2033,0
2034,0
2035,0
2036,1
2037,0
2038,1
2039,1
2040,0
2041,1
2042,1
2043,1
2044,0
2045,1
2046,1
2047,0
2048,1
2049,0
2050,1
2051,0
2052,0
2053,1
2054,1
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,1
2063,1
2064,1
2065,0
2066,0
2067,1
2068,0
2070,0
2071,1
2072,1
2073,0
2074,0
2075,0
2077,0
2078,0
2079,0
2080,1
2081,1
2082,0
2083,1
2084,1
2085,1
2086,0
2087,0
2088,1
2089,0
2090,0
2091,0
2092,1
2093,0
2094,0
2095,1
2096,0
2097,1
2098,0
2099,0
2100,1
2101,1
2102,1
2103,1
2104,1
2105,0
2106,0
2107,0
2108,0
2109,1
2110,1
2111,0
2112,0
2113,0
2114,1
2115,1
2116,0
2117,1
2118,0
2119,1
2120,1
2121,1
2122,0
2123,0
2124,1
2125,1
2126,1
2127,1
2128,0
2129,0
2130,1
2131,0
2132,0
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,0
2140,1
2141,0
2142,0
2143,1
2144,1
2145,0
2146,0
2147,1
2148,0
2149,1
2150,1
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2159,0
2160,1
2161,1
2162,1
2163,1
2164,1
2165,0
2166,1
2168,0
2169,0
2170,1
2171,0
2172,1
2173,0
2174,0
2175,1
2176,1
2177,0
2178,1
2179,1
2180,0
2181,1
2182,1
2183,0
2184,1
2185,0
2186,0
2187,1
2188,1
2189,0
2191,1
2192,0
2193,1
2194,1
2195,0
2196,1
2197,0
2198,1
2199,1
2200,1
2201,0
2202,0
2203,0
2204,1
2205,1
2206,1
2207,0
2208,0
2209,0
2210,0
2211,1
2212,1
2213,1
2214,1
2215,0
2216,1
2217,0
2218,1
2219,1
2220,0
2221,1
2222,1
2223,0
2224,1
2225,1
2226,1
2227,1
2228,0
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,1
2236,1
2237,0
2238,0
2239,1
2240,0
2241,1
2242,1
2243,1
2244,0
2245,1
2246,0
2247,1
2248,0
2249,1
2250,0
2251,0
2252,1
2253,0
2254,0
2255,1
2256,1
2257,1
2258,0
2259,0
2260,0
2261,0
2262,1
2263,0
2264,0
2265,0
2266,1
2267,0
2268,1
2269,0
2271,0
2272,1
2273,1
2274,0
2275,0
2276,0
2277,0
2279,1
2280,1
2281,1
2282,0
2283,1
2284,1
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,1
2293,0
2294,1
2295,1
2296,0
2297,0
2298,0
2299,1
2300,0
2301,0
2302,1
2303,1
2304,0
2305,0
2306,1
2307,1
2308,0
2309,1
2310,0
2311,0
2312,1
2313,1
2314,1
2315,1
2316,0
2317,1
2318,0
2319,1
2320,0
2321,0
2322,1
2323,0
2324,1
2325,0
2326,0
2327,1
2328,0
2329,1
2330,1
2331,0
2332,0
2333,1
2334,0
2335,1
2336,1
2337,1
2339,0
2340,0
2341,0
2342,0
2343,1
2344,0
2345,0
2346,0
2347,0
2348,1
2349,0
2350,1
2351,1
2353,1
2354,1
2355,0
2356,1
2357,0
2358,0
2359,1
2360,1
2361,0
2362,0
2363,0
2364,1
2365,1
2366,1
2367,0
2368,0
2369,1
2370,0
2371,0
2372,0
2373,1
2374,1
2375,1
2376,1
2377,1
2378,1
2379,0
2380,0
2381,0
2382,1
2383,0
2384,0
2385,0
2386,0
2387,1
2388,1
2389,1
2390,1
2391,0
2392,1
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,1
2400,1
2401,0
2402,0
2403,0
2404,1
2405,1
2406,1
2407,0
2408,1
2409,0
2410,0
2411,1
2412,1
2413,1
2414,0
2415,0
2416,1
2417,1
2418,1
2419,1
2420,0
2421,1
2422,1
2423,0
2424,0
2425,0
2426,1
2427,1
2428,0
2429,0
2430,0
2431,0
2432,1
2433,1
2434,0
2435,1
2436,0
2438,1
2439,1
2440,1
2441,1
2442,0
2443,0
2444,1
2445,0
2446,0
2447,1
2448,0
2449,1
2450,0
2451,1
2452,1
2453,1
2454,0
2455,0
2456,1
2457,0
2458,1
2459,1
2460,1
2461,1
2462,0
2463,1
2464,0
2465,1
2466,1
2467,1
2468,0
2469,1
2470,1
2471,0
2472,1
2473,0
2474,1
2476,0
2477,0
2478,0
2479,0
2480,1
2482,0
2483,0
2484,1
2485,0
2486,1
2487,0
2488,1
2489,0
2490,0
2491,1
2492,1
2493,0
2494,1
2495,0
2496,1
2497,0
2498,1
2499,0
2500,1
2501,1
2502,1
2503,1
2504,0
2505,1
2506,1
2507,0
2509,1
2510,0
2511,0
2512,0
2513,1
2515,0
2516,0
2517,1
2518,1
2519,0
2520,1
2521,0
2522,1
2523,0
2524,0
2525,1
2526,1
2527,0
2528,1
2529,0
2530,0
2531,1
2532,1
2533,0
2534,0
2535,0
2536,1
2537,0
2538,1
2539,0
2540,1
2541,1
2542,0
2543,0
2544,0
2545,0
2546,1
2547,0
2548,1
2549,0
2550,1
2551,1
2552,0
2553,1
2554,1
2555,0
2556,1
2557,1
2558,1
2559,0
2560,1
2561,0
2562,0
2563,1
2564,0
2565,1
2566,1
2567,0
2568,0
2569,1
2570,0
2571,1
2572,1
2573,0
2574,0
2575,0
2576,0
2577,1
2578,0
2579,1
2580,1
2581,1
2582,1
2583,0
2584,0
2585,0
2586,1
2587,0
2588,1
2589,1
2590,1
2591,0
2592,1
2593,1
2594,0
2595,1
2596,1
2597,0
2598,0
2599,1
2600,1
2601,1
2602,1
2603,1
2604,0
2605,0
2606,1
2607,0
2608,1
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,1
2616,1
2617,0
2619,1
2620,1
2621,1
2622,0
2623,1
2624,0
2625,0
2626,1
2627,1
2628,1
2629,1
2630,1
2631,1
2632,0
2633,0
2634,1
2635,0
2636,1
2637,0
2638,0
2639,1
2640,0
2641,0
2642,1
2643,1
2644,0
2645,1
2646,1
2647,1
2648,1
2649,0
2650,1
2651,1
2652,1
2653,0
2654,1
2655,0
2656,0
2657,1
2658,0
2659,0
2660,0
2661,1
2662,0
2663,0
2664,0
2665,1
2666,0
2667,0
2668,1
2669,0
2670,0
2671,1
2672,0
2673,1
2674,1
2675,0
2676,1
2677,1
2678,1
2679,0
2680,1
2681,1
2682,0
2683,0
2684,1
2685,1
2686,1
2687,1
2688,1
2690,1
2691,1
2692,1
2694,1
2695,1
2696,1
2697,0
2698,0
2699,1
2700,0
2701,1
2702,0
2703,1
2704,1
2705,0
2706,0
2707,1
2708,0
2709,1
2710,1
2711,1
2712,0
2713,1
2714,1
2715,1
2716,0
2717,1
2718,1
2719,0
2720,1
2721,1
2722,1
2723,1
2724,0
2725,1
2726,0
2727,0
2728,0
2729,0
2730,1
2731,1
2732,1
2733,0
2734,1
2735,1
2736,0
2737,0
2738,1
2739,0
2740,0
2741,1
2742,0
2743,0
2744,0
2745,0
2746,0
2747,1
2748,1
2749,0
2750,1
2751,0
2752,0
2753,0
2754,1
2755,1
2756,1
2757,1
2758,1
2759,0
2760,0
2761,1
2762,1
2763,1
2764,0
2765,0
2766,0
2767,1
2768,0
2769,0
2770,0
2771,1
2772,1
2773,0
2774,1
2775,0
2777,0
2778,1
2779,0
2780,0
2781,1
2782,0
2783,1
2784,0
2785,1
2786,0
2787,0
2788,0
2789,0
2790,1
2791,1
2792,0
2793,1
2794,1
2795,1
2796,1
2797,1
2798,0
2799,0
2800,0
2801,0
2802,0
2803,0
2804,1
2805,1
2806,1
2807,1
2808,0
2809,1
2810,1
2811,0
2812,1
2813,1
2814,0
2815,1
2816,1
2817,0
2818,0
2819,1
2820,0
2821,0
2822,1
2823,1
2824,1
2825,0
2826,0
2827,1
2828,1
2829,0
2830,0
2831,0
2832,0
2833,0
2834,0
2835,0
2836,1
2837,1
2838,0
2839,1
2840,0
2841,0
2842,1
2843,1
2844,1
2845,1
2846,1
2847,0
2848,0
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,0
2857,0
2858,0
2859,0
2860,1
2861,0
2862,0
2863,0
2864,0
2865,0
2866,1
2867,0
2868,1
2869,0
2870,0
2871,1
2872,0
2873,0
2874,0
2875,1
2876,0
2877,1
2878,1
2879,0
2880,1
2881,1
2882,0
2883,1
2884,0
2885,0
2886,0
2887,0
2888,0
2889,1
2890,1
2891,0
2892,1
2893,1
2894,0
2895,0
2896,0
2897,0
2898,1
2899,1
2900,0
2901,0
2902,0
2903,0
2904,1
2905,0
2906,0
2907,0
2908,1
2909,1
2910,0
2911,0
2912,1
2913,0
2914,0
2915,0
2916,1
2917,0
2918,0
2919,1
2920,1
2921,1
2922,1
2923,1
2924,0
2925,0
2926,0
2927,0
2928,0
2929,0
2930,1
2931,0
2932,1
2933,0
2934,0
2935,0
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,0
2943,1
2944,0
2945,0
2946,0
2947,1
2948,0
2949,1
2950,1
2951,1
2952,0
2953,0
2954,1
2955,1
2956,1
2957,1
2958,1
2959,1
2960,0
2961,1
2962,0
2963,0
2964,1
2965,0
2966,1
2967,1
2968,0
2969,1
2970,1
2971,0
2972,1
2973,0
2974,0
2975,0
2976,0
2977,0
2978,1
2979,0
2980,0
2981,0
2982,1
2983,0
2984,0
2985,0
2986,0
2987,1
2988,1
2989,1
2990,0
2991,0
2992,1
2993,1
2994,1
2995,0
2996,1
2997,1
2998,0
2999,0
3000,0
3001,1
3002,0
3003,1
3004,1
3005,0
3006,1
3007,0
3008,1
3009,0
3010,1
3011,0
3012,1
3013,0
3014,1
3015,0
3016,0
3017,0
3018,1
3019,1
3020,0
3021,0
3022,0
3023,1
3024,1
3025,0
3026,0
3027,1
3028,0
3029,1
3030,1
3031,1
3032,1
3033,1
3034,1
3035,1
3036,0
3037,1
3038,1
3039,1
3040,0
3041,1
3042,1
3043,1
3044,1
3045,0
3046,0
